epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,7270.32,1.02364,1.05642,1.33433,0.8212,0.7368,0.80271,0.54391,1.13798,0.88497,1.42005,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7403.11,1.02565,1.06757,1.33977,0.81965,0.7409,0.80938,0.55278,1.12812,0.87292,1.40548,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7538.08,1.02265,1.04767,1.32982,0.81555,0.74118,0.80947,0.55412,1.12723,0.87375,1.40971,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7671.65,1.01889,1.03976,1.33132,0.81236,0.73991,0.80772,0.55257,1.12763,0.86195,1.41641,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7804.74,1.00397,1.03108,1.32419,0.83313,0.73782,0.80984,0.54898,1.13278,0.85764,1.41423,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7937.43,1.00674,1.01381,1.32034,0.83689,0.7308,0.81234,0.55549,1.11602,0.86161,1.40528,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8071.96,1.00068,1.01295,1.3201,0.85476,0.74027,0.8169,0.55844,1.11505,0.85164,1.39898,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8205.78,0.99677,0.99618,1.30981,0.84019,0.73773,0.81615,0.56097,1.11838,0.84543,1.38871,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8339.8,0.99542,0.98288,1.30726,0.82437,0.75458,0.82109,0.5622,1.10888,0.83524,1.39111,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8472.77,0.99624,1.00613,1.31438,0.84543,0.74453,0.82507,0.56511,1.10818,0.83292,1.39536,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8606.61,0.98291,0.98942,1.30504,0.83885,0.74942,0.82215,0.56618,1.11252,0.8316,1.39019,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8739.08,0.97771,0.96403,1.295,0.81913,0.77014,0.82541,0.56466,1.11463,0.82108,1.39091,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8871.81,0.96735,0.96239,1.29083,0.83802,0.75295,0.82291,0.56788,1.10023,0.8295,1.38503,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9005.6,0.9614,0.94883,1.28644,0.83724,0.76038,0.82934,0.57308,1.09603,0.81898,1.38022,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9139.05,0.96634,0.95008,1.293,0.84614,0.75745,0.83493,0.57321,1.11053,0.80882,1.38402,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9272.26,0.95464,0.93123,1.27929,0.85199,0.75654,0.82527,0.57115,1.1083,0.81599,1.38989,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9405.02,0.9543,0.93413,1.27696,0.85073,0.75333,0.83415,0.57823,1.08986,0.81423,1.3745,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9538.41,0.95627,0.93173,1.28135,0.84923,0.75181,0.83209,0.57088,1.10407,0.82169,1.38402,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9671.45,0.94865,0.9264,1.27582,0.83225,0.76493,0.83344,0.57572,1.09595,0.81117,1.37905,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9804.37,0.94473,0.90939,1.26769,0.8472,0.76279,0.83372,0.57682,1.10182,0.80015,1.38052,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9937.09,0.9311,0.8944,1.26725,0.87883,0.75869,0.83655,0.58066,1.09666,0.78749,1.37972,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10068.8,0.93347,0.88665,1.264,0.84224,0.76411,0.82974,0.57624,1.09757,0.80273,1.37847,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10202,0.9256,0.89454,1.26251,0.85322,0.75401,0.83146,0.57816,1.09092,0.79834,1.37494,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10334.4,0.915,0.87517,1.25493,0.84197,0.77262,0.83131,0.57859,1.09031,0.80487,1.37595,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10469,0.91692,0.87611,1.25857,0.82893,0.77795,0.83321,0.58017,1.09203,0.78887,1.37652,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10601.9,0.91544,0.86499,1.25319,0.84117,0.76916,0.83745,0.58129,1.08656,0.79024,1.37114,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10735.6,0.903,0.85772,1.24457,0.87506,0.75531,0.8382,0.58068,1.0886,0.7876,1.37732,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10866.1,0.90143,0.85636,1.24161,0.86405,0.76796,0.84148,0.58644,1.07981,0.78362,1.37389,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10996.3,0.91372,0.85914,1.24772,0.86544,0.76678,0.83988,0.58493,1.08258,0.77618,1.37444,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11125.7,0.88527,0.83586,1.23228,0.86949,0.76516,0.83773,0.58696,1.08361,0.77989,1.37681,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11256.1,0.88881,0.83602,1.23847,0.86832,0.75578,0.83641,0.58847,1.08686,0.77317,1.3755,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11386,0.88583,0.83934,1.23288,0.87274,0.75516,0.83577,0.5855,1.08229,0.77128,1.37452,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11514.6,0.87899,0.8223,1.22309,0.87349,0.7587,0.84209,0.59024,1.0853,0.76822,1.37761,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11643.9,0.88117,0.82315,1.22766,0.85973,0.76155,0.8397,0.58971,1.08385,0.76942,1.37211,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11772.8,0.86153,0.80348,1.21442,0.85703,0.76769,0.83494,0.58795,1.08377,0.77572,1.37478,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11902.3,0.85764,0.79052,1.21303,0.86384,0.76841,0.84238,0.5884,1.08626,0.77407,1.37756,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12031.3,0.85779,0.79199,1.21309,0.86634,0.76687,0.84176,0.58952,1.08639,0.77677,1.37526,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12160.1,0.85904,0.78335,1.21238,0.8487,0.77575,0.84,0.58848,1.08368,0.77644,1.37595,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12288.6,0.86682,0.79452,1.22003,0.86112,0.77558,0.84183,0.59131,1.07714,0.77331,1.37014,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12417.7,0.84986,0.78475,1.20948,0.85712,0.77406,0.84352,0.59239,1.07739,0.76933,1.37081,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12547.7,0.84746,0.7791,1.20676,0.87011,0.77065,0.84503,0.59201,1.07911,0.76463,1.37249,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12676.3,0.83413,0.76318,1.20029,0.86701,0.78331,0.84717,0.59162,1.07808,0.76385,1.37017,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,12813.1,0.68795,0.46573,1.09875,0.86312,0.77756,0.84227,0.59228,1.07466,0.76685,1.37098,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,12941.5,0.67901,0.44766,1.09018,0.86117,0.77734,0.84324,0.59212,1.07609,0.76006,1.37305,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13069.9,0.65989,0.43181,1.07556,0.86524,0.77614,0.84318,0.59261,1.07915,0.76098,1.37893,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13198.7,0.65275,0.42483,1.07741,0.85525,0.78417,0.84411,0.59328,1.07759,0.76012,1.38092,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13328.2,0.64772,0.41624,1.07093,0.85129,0.79093,0.84514,0.59506,1.07558,0.75482,1.38107,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13457.1,0.6385,0.40834,1.06297,0.87312,0.77386,0.84514,0.59405,1.07304,0.75575,1.38089,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13584.8,0.63249,0.40447,1.06215,0.86318,0.78806,0.84459,0.59495,1.07143,0.75699,1.38096,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,13712.9,0.62456,0.39711,1.0579,0.86698,0.78741,0.84353,0.59466,1.07114,0.75604,1.38098,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13840.7,0.61748,0.39078,1.05109,0.86558,0.78335,0.84124,0.59461,1.07206,0.75692,1.38305,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13968.3,0.61473,0.39137,1.04931,0.86962,0.78348,0.84114,0.59394,1.07254,0.75713,1.38314,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
